"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2013","Spain","Number","Total","Bachelor's or equivalent level - professional","Total",":","d"
"2013","Spain","Number","Total","Master's or equivalent level","Total","514,369",""
"2013","Spain","Number","Total","Master's or equivalent level - academic","Total",":","d"
"2013","Spain","Number","Total","Master's or equivalent level - professional","Total",":","d"
"2013","Spain","Number","Total","Doctoral or equivalent level","Total","23,650",""
"2013","Netherlands","Number","Total","Bachelor's or equivalent level","Total","558,456",""
"2013","Netherlands","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","Netherlands","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","Netherlands","Number","Total","Master's or equivalent level","Total","97,327",""
"2013","Netherlands","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","Netherlands","Number","Total","Master's or equivalent level - professional","Total",":",""
"2013","Netherlands","Number","Total","Doctoral or equivalent level","Total","13,631",""
"2013","Romania","Number","Total","Bachelor's or equivalent level","Total","409,606",""
"2013","Romania","Number","Total","Bachelor's or equivalent level - academic","Total",":","z"
"2013","Romania","Number","Total","Bachelor's or equivalent level - professional","Total",":","z"
"2013","Romania","Number","Total","Master's or equivalent level","Total","187,195",""
"2013","Romania","Number","Total","Master's or equivalent level - academic","Total",":","z"
"2013","Romania","Number","Total","Master's or equivalent level - professional","Total",":","z"
"2013","Romania","Number","Total","Doctoral or equivalent level","Total","21,356",""
"2013","Sweden","Number","Total","Bachelor's or equivalent level","Total","252,980",""
"2013","Sweden","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","Sweden","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","Sweden","Number","Total","Master's or equivalent level","Total","136,075",""
"2013","Sweden","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","Sweden","Number","Total","Master's or equivalent level - professional","Total",":",""
"2013","Sweden","Number","Total","Doctoral or equivalent level","Total","21,512",""
"2013","Austria","Number","Total","Bachelor's or equivalent level","Total","180,234",""
"2013","Austria","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2013","Austria","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2013","Austria","Number","Total","Master's or equivalent level","Total","140,087",""
"2013","Austria","Number","Total","Master's or equivalent level - academic","Total",":",""
"2013","Austria","Number","Total","Master's or equivalent level - professional","Total",":",""
